run_id,run_name,run_group,artifact_name,artifact_version,artifact_path,config.model_type,config.optimizer,config.image_net,config.augmentation,val-od-worst-group-acc,test-od-worst-group-acc
fqghrzy2,multi-deit-init-both-adam-1e-04-03-06,deit,run-multi-deit-init-both-adam-1e-04-03-06:v5,v5,/home/erik/git/bigpicture/artifacts/deit/fqghrzy2_run-multi-deit-init-both-adam-1e-04-03-06_v5,multi-deit,adam,both,True,0.5130759651307597,0.3694562283069803
wug4b1i5,multi-deit-cross-attn-init-both-adam-1e-04-03-06,deit,run-multi-deit-cross-attn-init-both-adam-1e-04-03-06:v34,v34,/home/erik/git/bigpicture/artifacts/deit/wug4b1i5_run-multi-deit-cross-attn-init-both-adam-1e-04-03-06_v34,multi-deit-cross-attn,adam,both,True,0.5330012453300125,0.3393752410335519
31fshgo7,single-deit-init-both-adam-1e-04-03-07,deit,run-single-deit-init-both-adam-1e-04-03-07:v6,v6,/home/erik/git/bigpicture/artifacts/deit/31fshgo7_run-single-deit-init-both-adam-1e-04-03-07_v6,single-deit,adam,both,True,0.49813200498132,0.31585036637099884
bc7y4e4d,multi-deit-cross-attn-init-both-adam-1e-04-03-05,deit,run-multi-deit-cross-attn-init-both-adam-1e-04-03-05:v6,v6,/home/erik/git/bigpicture/artifacts/deit/bc7y4e4d_run-multi-deit-cross-attn-init-both-adam-1e-04-03-05_v6,multi-deit-cross-attn,adam,both,True,0.5155666251556662,0.31469340532202084
k1qnrbro,multi-deit-satclip-init-both-adam-1e-04-03-12,deit,run-multi-deit-satclip-init-both-adam-1e-04-03-12:v24,v24,/home/erik/git/bigpicture/artifacts/deit/k1qnrbro_run-multi-deit-satclip-init-both-adam-1e-04-03-12_v24,multi-deit-satclip,adam,both,True,0.48194271481942713,0.3100655611261088
gmqs4rra,multi-deit-init-hr-adam-1e-04-02-27,deit,run-multi-deit-init-hr-adam-1e-04-02-27:v2,v2,/home/erik/git/bigpicture/artifacts/deit/gmqs4rra_run-multi-deit-init-hr-adam-1e-04-02-27_v2,multi-deit,adam,hr,False,0.45952677459526775,0.303895102198226
4mhww9sf,multi-deit-init-both-adamw-5e-05-03-03,deit,run-multi-deit-init-both-adamw-5e-05-03-03:v15,v15,/home/erik/git/bigpicture/artifacts/deit/4mhww9sf_run-multi-deit-init-both-adamw-5e-05-03-03_v15,multi-deit,adamw,both,False,0.4931506849315068,0.2969533359043579
s3pw1ul0,multi-deit-init-hr-adamw-5e-05-02-27,deit,run-multi-deit-init-hr-adamw-5e-05-02-27:v5,v5,/home/erik/git/bigpicture/artifacts/deit/s3pw1ul0_run-multi-deit-init-hr-adamw-5e-05-02-27_v5,multi-deit,adamw,hr,False,0.44582814445828145,0.2896259159274971
tt1dlmdn,multi-deit-init-none-adamw-5e-05-02-27,deit,run-multi-deit-init-none-adamw-5e-05-02-27:v9,v9,/home/erik/git/bigpicture/artifacts/deit/tt1dlmdn_run-multi-deit-init-none-adamw-5e-05-02-27_v9,multi-deit,adamw,none,False,0.3001245330012453,0.18819899730042425
b95e1rug,single-deit-landsat-init-both-adam-1e-04-03-07,deit,run-single-deit-landsat-init-both-adam-1e-04-03-07:v2,v2,/home/erik/git/bigpicture/artifacts/deit/b95e1rug_run-single-deit-landsat-init-both-adam-1e-04-03-07_v2,single-deit-landsat,adam,both,True,0.1976531545260591,0.10759737755495564
