epoch,lr-Adam,lr-Adam-1,step,train/train-hr-domain-acc,train/train-hr-domain-acc-africa,train/train-hr-domain-acc-americas,train/train-hr-domain-acc-europe,train/train-hr-domain-acc-oceania,train/train-hr-domain-acc-other,train/train-hr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-hr-domain-acc,val/val-id-hr-domain-acc-africa,val/val-id-hr-domain-acc-americas,val/val-id-hr-domain-acc-europe,val/val-id-hr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-africa-top5-task-acc,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-americas-top5-task-acc,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-europe-top5-task-acc,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-region-oceania-top5-task-acc,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-top5-task-acc,val/val-id-worst-group-task-acc,val/val-id-worst-group-top5-task-acc,val/val-od-hr-domain-acc,val/val-od-hr-domain-acc-africa,val/val-od-hr-domain-acc-americas,val/val-od-hr-domain-acc-europe,val/val-od-hr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-africa-top5-task-acc,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-americas-top5-task-acc,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-europe-top5-task-acc,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-region-oceania-top5-task-acc,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-top5-task-acc,val/val-od-worst-group-task-acc,val/val-od-worst-group-top5-task-acc
,2e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,461,,,,,,,,,,0.5739476680755615,0.0,0.13686606287956238,0.8777524828910828,0.0,0.4684210419654846,2.2187416553497314,0.6315789222717285,0.3517555296421051,2.7107322216033936,0.600130021572113,0.31283220648765564,2.7986068725585938,0.5687167644500732,0.3585657477378845,2.5378050804138184,0.7211155295372009,0.3313993215560913,0.09404563903808594,2.572481393814087,3.510338068008423,2.7476112842559814,0.5855517387390137,0.31283220648765564,0.5687167644500732,0.49791058897972107,0.0,0.1299908608198166,0.9067511558532715,0.0,0.2478206753730774,3.001099109649658,0.47073474526405334,0.3139286935329437,2.7887821197509766,0.5896068215370178,0.3669167160987854,2.594121217727661,0.602948784828186,0.3030303120613098,2.6367759704589844,0.6450216174125671,0.33601367473602295,0.07699783146381378,2.4397289752960205,3.4469387531280518,2.697942018508911,0.5925034880638123,0.2478206753730774,0.47073474526405334
0,,,461,0.5305652618408203,0.0044247787445783615,0.08077051490545273,0.850959300994873,0.0024375380016863346,0.0,1.1470555067062378,0.21692010760307312,3.258579730987549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,923,,,,,,,,,,0.6857792735099792,0.0,0.41059818863868713,0.9045178294181824,0.0,0.5210526585578918,1.9532761573791504,0.7105262875556946,0.4330299198627472,2.2119786739349365,0.7181404232978821,0.40299925208091736,2.3403220176696777,0.6708428263664246,0.5179283022880554,1.9499658346176147,0.8525896668434143,0.41956770420074463,0.08670568466186523,2.093796491622925,3.1914560794830322,2.275477170944214,0.6935153603553772,0.40299925208091736,0.6708428263664246,0.6060529351234436,0.0,0.4017067849636078,0.897051215171814,0.0,0.31631383299827576,2.7044334411621094,0.5828144550323486,0.41206949949264526,2.3410727977752686,0.6933861374855042,0.4609415531158447,2.13277530670166,0.700982928276062,0.44155845046043396,2.115844964981079,0.8051947951316833,0.4323793947696686,0.07872913777828217,2.0205297470092773,3.1429128646850586,2.2479703426361084,0.6963403820991516,0.31631383299827576,0.5828144550323486
1,,,923,0.582339882850647,0.0022123893722891808,0.17758546769618988,0.880615234375,0.0012187690008431673,0.0,0.8692950010299683,0.3820401728153229,2.4697470664978027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1385,,,,,,,,,,0.7187713384628296,0.0,0.5396618843078613,0.8842065334320068,0.0,0.5736842155456543,1.7731879949569702,0.7263157963752747,0.5016254782676697,1.896955966949463,0.7818595767021179,0.45956718921661377,2.075350761413574,0.731776773929596,0.5896414518356323,1.6058323383331299,0.8525896668434143,0.4806598424911499,0.08369377255439758,1.8720486164093018,2.9814250469207764,1.9925512075424194,0.7527872323989868,0.45956718921661377,0.7263157963752747,0.6458781957626343,0.0,0.5312404632568359,0.868468701839447,0.0,0.364881694316864,2.4720475673675537,0.6550436019897461,0.46357816457748413,2.0642642974853516,0.7496190071105957,0.5124159455299377,1.8694140911102295,0.7622866034507751,0.5194805264472961,1.768797516822815,0.8542568683624268,0.48493099212646484,0.07037905603647232,1.7957011461257935,2.952256917953491,1.9768452644348145,0.7555400729179382,0.364881694316864,0.6550436019897461
2,,,1385,0.621769905090332,0.0014749262481927872,0.2785009443759918,0.8867570757865906,0.0008125127060338855,0.0,0.7586674094200134,0.4708233177661896,2.079251527786255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
