epoch,lr-Adam,lr-Adam-1,step,train/d3g-consistency-loss,train/train-domain-acc,train/train-domain-acc-africa,train/train-domain-acc-americas,train/train-domain-acc-asia,train/train-domain-acc-europe,train/train-domain-acc-oceania,train/train-domain-acc-other,train/train-domain-loss,train/train-task-acc,train/train-task-loss,train/train-total-loss,val/val-id-domain-acc,val/val-id-domain-acc-africa,val/val-id-domain-acc-americas,val/val-id-domain-acc-asia,val/val-id-domain-acc-europe,val/val-id-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-domain-acc,val/val-od-domain-acc-africa,val/val-od-domain-acc-americas,val/val-od-domain-acc-asia,val/val-od-domain-acc-europe,val/val-od-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,960,,,,,,,,,,,,,0.20900461077690125,0.0,0.4717165231704712,0.2781284749507904,0.036636292934417725,0.027888447046279907,0.005263158120214939,4.1221208572387695,0.016579974442720413,4.077226638793945,0.012253992259502411,4.120545864105225,0.030751708894968033,4.051873207092285,0.007968127727508545,4.085396766662598,0.021684229373931885,0.004658348858356476,4.073824405670166,4.073792934417725,4.076939105987549,0.005263158120214939,0.2068290263414383,0.0,0.44910088181495667,0.23756369948387146,0.01836523599922657,0.07359307259321213,0.009962639771401882,4.104496955871582,0.017525143921375275,4.074634075164795,0.013346275314688683,4.135097026824951,0.027935851365327835,4.046785354614258,0.011544011533260345,4.098698139190674,0.020185789093375206,0.0061700064688920975,4.073144912719727,4.074026107788086,4.078426361083984,0.009962639771401882
0,,,960,181.88763427734375,0.18998737633228302,0.0,0.4360367953777313,0.23712728917598724,0.03397862985730171,0.029859840869903564,0.0714285746216774,1.7761824131011963,0.022247375920414925,4.149600028991699,149.9836883544922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.6e-05,9.600000000000001e-06,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1921,,,,,,,,,,,,,0.465993195772171,0.0,0.655071496963501,0.5347196459770203,0.35820046067237854,0.03187251091003418,0.04736842215061188,3.957338809967041,0.035110533237457275,4.033693790435791,0.026364648714661598,4.060884475708008,0.07630979269742966,3.9881722927093506,0.011952191591262817,4.0374650955200195,0.0516415573656559,0.02470708265900612,4.064914703369141,4.066415309906006,4.018280029296875,0.011952191591262817,0.35576197504997253,0.0,0.5170679688453674,0.45911186933517456,0.22762545943260193,0.05627705529332161,0.01743461936712265,4.05422830581665,0.03489789739251137,4.033352375030518,0.02596457116305828,4.077678203582764,0.08445421606302261,3.9744324684143066,0.014430014416575432,4.0550923347473145,0.05086618289351463,0.023981736972928047,4.065293788909912,4.0669989585876465,4.021304607391357,0.014430014416575432
1,,,1921,4.086543083190918,0.2658756375312805,0.0,0.5069613456726074,0.3079341948032379,0.12244370579719543,0.03260207176208496,0.0714285746216774,1.636209487915039,0.0348542220890522,4.077884197235107,7.674358367919922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.2000000000000004e-05,9.216000000000001e-06,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2882,,,,,,,,,,,,,0.6272751092910767,0.0,0.6466189622879028,0.6787968873977661,0.6417995691299438,0.019920319318771362,0.410526305437088,2.936861515045166,0.13296489417552948,3.91975736618042,0.10620126128196716,3.914374351501465,0.16989369690418243,3.768188238143921,0.043824702501297,3.933039665222168,0.1463032364845276,0.10444138944149017,3.865295171737671,4.048590660095215,3.8337085247039795,0.043824702501297,0.4837057590484619,0.0,0.4701310694217682,0.6362533569335938,0.5050439834594727,0.03030303120613098,0.1432129442691803,3.9007256031036377,0.12099969387054443,3.9281394481658936,0.10070371627807617,3.9323489665985107,0.21831350028514862,3.677382469177246,0.06926406919956207,3.9503886699676514,0.15365302562713623,0.11199531704187393,3.903897762298584,4.048061370849609,3.8314321041107178,0.06926406919956207
2,,,2882,4.021612167358398,0.36403730511665344,0.0,0.5548562407493591,0.3986935317516327,0.26394951343536377,0.03148486837744713,0.0555555559694767,1.4197715520858765,0.09177367389202118,3.888733148574829,7.389965534210205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.8e-05,8.847360000000002e-06,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,3843,,,,,,,,,,,,,0.6551423668861389,0.0,0.7096878886222839,0.6427775621414185,0.6848899126052856,0.0039840638637542725,0.4263157844543457,2.762200355529785,0.1752275675535202,3.8685643672943115,0.13219457864761353,3.84431791305542,0.17805619537830353,3.7062249183654785,0.09960159659385681,3.865455150604248,0.16885831952095032,0.12094137072563171,3.80496883392334,4.0484113693237305,3.7704904079437256,0.09960159659385681,0.5355259776115417,0.0,0.5582139492034912,0.6054355502128601,0.5819969177246094,0.010101010091602802,0.13075965642929077,3.8818347454071045,0.1621456891298294,3.874647378921509,0.12472701072692871,3.866741895675659,0.23603206872940063,3.578042507171631,0.13852813839912415,3.883037567138672,0.18096911907196045,0.1321910172700882,3.857208013534546,4.044808864593506,3.7585434913635254,0.12472701072692871
3,,,3843,5.195725440979004,0.42562416195869446,0.0,0.5898178815841675,0.45180806517601013,0.35194307565689087,0.02620353363454342,0.0476190485060215,1.3365191221237183,0.14603905379772186,3.676180839538574,8.099821090698242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.400000000000001e-05,8.493465600000002e-06,3844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,4804,,,,,,,,,,,,,0.7126186490058899,0.031578946858644485,0.6651495695114136,0.6780542135238647,0.8171981573104858,0.0,0.4368421137332916,2.6261117458343506,0.19798439741134644,3.740340232849121,0.1704418808221817,3.7000699043273926,0.1979878544807434,3.5843145847320557,0.12749004364013672,3.750328540802002,0.19411303102970123,0.13415414094924927,3.73797607421875,4.023414611816406,3.641467571258545,0.12749004364013672,0.5857393741607666,0.0024906599428504705,0.5070100426673889,0.6432904601097107,0.7352560758590698,0.0,0.1780821979045868,3.7662346363067627,0.19247180223464966,3.7473013401031494,0.15287551283836365,3.7247238159179688,0.25387999415397644,3.4405734539031982,0.1746031790971756,3.7583467960357666,0.20687924325466156,0.14370466768741608,3.7637455463409424,4.016143798828125,3.624821662902832,0.15287551283836365
4,,,4804,3.8304004669189453,0.47865942120552063,0.0025284450966864824,0.6047966480255127,0.4989050626754761,0.43602365255355835,0.021694088354706764,0.03809523954987526,1.0792129039764404,0.1809583306312561,3.5279109477996826,6.808058261871338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0001,8.153726976e-06,4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,5765,,,,,,,,,,,,,0.7552904486656189,0.34736841917037964,0.6859557628631592,0.7370961904525757,0.8564920425415039,0.0,0.4684210419654846,2.457278251647949,0.22399219870567322,3.5477826595306396,0.20943185687065125,3.50675892829895,0.21165527403354645,3.43742299079895,0.15537849068641663,3.580199956893921,0.21762605011463165,0.13161888718605042,3.5448851585388184,3.971773386001587,3.4711437225341797,0.15537849068641663,0.6100928783416748,0.04483187943696976,0.4961901903152466,0.6840572953224182,0.7807811498641968,0.0028860028833150864,0.21419675648212433,3.5872669219970703,0.21517829596996307,3.559861898422241,0.20189274847507477,3.5282340049743652,0.27095189690589905,3.264577627182007,0.16161616146564484,3.5763165950775146,0.2321365773677826,0.14021538197994232,3.560410261154175,3.959372043609619,3.4405570030212402,0.16161616146564484
5,,,5765,3.70470929145813,0.5216640830039978,0.01864728145301342,0.6178419589996338,0.5347203016281128,0.5042078495025635,0.018586227670311928,0.0317460335791111,0.8817553520202637,0.21877886354923248,3.3367645740509033,6.476867198944092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.98794204878613e-05,7.82757789696e-06,5766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,6726,,,,,,,,,,,,,0.7453626990318298,0.0,0.6716514825820923,0.7070181965827942,0.8707289099693298,0.007968127727508545,0.46315789222717285,2.491011619567871,0.20578673481941223,3.483365058898926,0.19235053658485413,3.4630424976348877,0.19741837680339813,3.443547487258911,0.131474107503891,3.5317602157592773,0.20142820477485657,0.10466820001602173,3.47212290763855,3.933635711669922,3.445815324783325,0.131474107503891,0.6076826453208923,0.0,0.5076196193695068,0.599611759185791,0.8147956728935242,0.0,0.21170610189437866,3.490154504776001,0.1976531594991684,3.489147424697876,0.1917010396718979,3.473253011703491,0.25245732069015503,3.281996011734009,0.14141413569450378,3.466341972351074,0.21626915037631989,0.10970078408718109,3.4371178150177,3.9151744842529297,3.40490460395813,0.14141413569450378
6,,,6726,5.697588920593262,0.549919068813324,0.024562036618590355,0.6231412887573242,0.5543104410171509,0.5532267689704895,0.016105161979794502,0.027210883796215057,0.9216057062149048,0.20835772156715393,3.3247299194335938,8.066726684570312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.951826940270773e-05,7.5144747810815995e-06,6727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,7687,,,,,,,,,,,,,0.7861186265945435,0.27368420362472534,0.6999349594116211,0.7649461627006531,0.9024297595024109,0.03187251091003418,0.4736842215061188,2.2965550422668457,0.2347204089164734,3.26816463470459,0.22502784430980682,3.2506003379821777,0.22114653885364532,3.2696473598480225,0.1872510015964508,3.2546212673187256,0.22929547727108002,0.09195109456777573,3.182138204574585,3.8330042362213135,3.2496135234832764,0.1872510015964508,0.6310821175575256,0.004981319885700941,0.5103626847267151,0.652996838092804,0.8420848250389099,0.018759019672870636,0.22415940463542938,3.236182689666748,0.2284364551305771,3.2930145263671875,0.22251880168914795,3.268777847290039,0.27987584471702576,3.077054977416992,0.190476194024086,3.2261922359466553,0.2456439882516861,0.09512776881456375,3.14030385017395,3.809746265411377,3.1998417377471924,0.190476194024086
7,,,7687,3.508840322494507,0.576327383518219,0.02236093580722809,0.6327778697013855,0.5757762789726257,0.5949204564094543,0.014549055136740208,0.02380952425301075,0.7776926159858704,0.24511143565177917,3.121079444885254,6.083694934844971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.891830623632339e-05,7.213895789838335e-06,7688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
